Country,Code,Year,Unemployment_Rate,Deaths,Population,DeathsPer10000
Chile,CHL,2007,8.430000305,663,19039484,0.348223723
Chile,CHL,2008,9.289999962,769,19039484,0.403897501
Chile,CHL,2009,11.31000042,746,19039484,0.391817341
Chile,CHL,2010,8.420000076,797,19039484,0.418603781
Chile,CHL,2011,7.340000153,801,19039484,0.420704679
Chile,CHL,2012,6.659999847,765,19039484,0.401796603
Chile,CHL,2013,6.210000038,756,19039484,0.397069584
Chile,CHL,2014,6.659999847,839,19039484,0.440663203
Chile,CHL,2015,6.510000229,821,19039484,0.431209165
Chile,CHL,2016,6.739999771,776,19039484,0.407574071
Chile,CHL,2017,6.960000038,792,19039484,0.41597766
Chile,CHL,2018,7.230000019,795,19039484,0.417553333
Chile,CHL,2019,7.289999962,793,19039484,0.416502884
Colombia,COL,1992,9.43999958,28934,50187404,5.765191601
Colombia,COL,1993,7.800000191,29497,50187404,5.877371143
Colombia,COL,1994,8.25,28322,50187404,5.643248653
Colombia,COL,1995,8.720000267,26952,50187404,5.370271792
Colombia,COL,1996,11.81000042,27688,50187404,5.516922134
Colombia,COL,1997,12.14000034,27723,50187404,5.523895996
Colombia,COL,1998,15,29083,50187404,5.794880325
Colombia,COL,1999,20.05999947,30684,50187404,6.113884671
Colombia,COL,2000,20.52000046,33565,50187404,6.687933092
Colombia,COL,2001,15.03999996,34612,50187404,6.896551174
Colombia,COL,2002,14.47999954,39612,50187404,7.89281709
Colombia,COL,2003,13.22000027,26881,50187404,5.356124816
Colombia,COL,2004,12.73999977,24669,50187404,4.915376775
Colombia,COL,2005,11.06000042,20823,50187404,4.149049032
Colombia,COL,2006,11.28999996,20526,50187404,4.089870837
Colombia,COL,2007,10.25,19396,50187404,3.86471474
Colombia,COL,2008,10.48999977,19350,50187404,3.855549094
Colombia,COL,2009,11.28999996,19711,50187404,3.927479493
Colombia,COL,2010,10.97999954,18921,50187404,3.770069478
Colombia,COL,2011,10.10999966,18200,50187404,3.626407933
Colombia,COL,2012,9.739999771,17642,50187404,3.515224657
Colombia,COL,2013,9.050000191,16960,50187404,3.379333986
Colombia,COL,2014,8.569999695,15393,50187404,3.067104248
Colombia,COL,2015,8.300000191,15181,50187404,3.024862573
Colombia,COL,2016,8.68999958,16448,50187404,3.277316356
Colombia,COL,2017,8.869999886,16783,50187404,3.344066172
Colombia,COL,2018,9.109999657,17054,50187404,3.398063785
Colombia,COL,2019,9.960000038,17061,50187404,3.399458557
Ecuador,ECU,1992,4.52699995,1388,17343742,0.800288657
Ecuador,ECU,1993,4.559999943,1468,17343742,0.846414805
Ecuador,ECU,1994,4.44299984,1588,17343742,0.915604026
Ecuador,ECU,1995,4.592000008,1733,17343742,0.999207668
Ecuador,ECU,1996,4.651000023,1884,17343742,1.086270771
Ecuador,ECU,1997,4.513000011,1999,17343742,1.152577108
Ecuador,ECU,1998,4.605000019,2159,17343742,1.244829403
Ecuador,ECU,1999,5.184000015,2258,17343742,1.30191051
Ecuador,ECU,2000,4.800000191,2365,17343742,1.363604233
Ecuador,ECU,2001,4.25,2505,17343742,1.444324991
Ecuador,ECU,2002,4.897999763,2728,17343742,1.572901626
Ecuador,ECU,2003,5.659999847,2904,17343742,1.674379151
Ecuador,ECU,2004,5,3065,17343742,1.767208022
Ecuador,ECU,2005,3.779999971,3228,17343742,1.861190048
Ecuador,ECU,2006,3.549999952,3287,17343742,1.895208081
Ecuador,ECU,2007,3.140000105,3304,17343742,1.905009888
Ecuador,ECU,2008,3.920000076,3324,17343742,1.916541425
Ecuador,ECU,2009,4.610000134,3278,17343742,1.89001889
Ecuador,ECU,2010,4.090000153,3126,17343742,1.80237921
Ecuador,ECU,2011,3.460000038,2857,17343742,1.647280039
Ecuador,ECU,2012,3.230000019,2569,17343742,1.481225908
Ecuador,ECU,2013,3.079999924,2300,17343742,1.326126738
Ecuador,ECU,2014,3.480000019,2104,17343742,1.213117677
Ecuador,ECU,2015,3.619999886,1947,17343742,1.122595112
Ecuador,ECU,2016,4.599999905,1840,17343742,1.06090139
Ecuador,ECU,2017,3.839999914,1816,17343742,1.047063546
Ecuador,ECU,2018,3.529999971,1848,17343742,1.065514005
Ecuador,ECU,2019,3.809999943,1907,17343742,1.099532039
Guyana,GUY,1992,11.89999962,97,798761,1.214380772
Guyana,GUY,1993,11.88199997,111,798761,1.389652224
Guyana,GUY,1994,11.86499977,118,798761,1.47728795
Guyana,GUY,1995,11.87899971,122,798761,1.527365507
Guyana,GUY,1996,11.8409996,143,798761,1.790272685
Guyana,GUY,1997,11.8409996,145,798761,1.815311464
Guyana,GUY,1998,11.88899994,154,798761,1.927985968
Guyana,GUY,1999,11.8380003,138,798761,1.727675738
Guyana,GUY,2000,11.8579998,163,798761,2.040660473
Guyana,GUY,2001,11.81499958,153,798761,1.915466579
Guyana,GUY,2002,11.81000042,172,798761,2.153334978
